source,target,type
55LNwkH61AM,AWakIqF-ITU,recommendation
55LNwkH61AM,lzqkXhdo0qc,direct
lzqkXhdo0qc,Gc_EZWUHBkg,recommendation
lzqkXhdo0qc,bSj__Vo1pOU,recommendation
lzqkXhdo0qc,VPe5f5dcrGE,recommendation
lzqkXhdo0qc,JvhBUowHLiU,recommendation
lzqkXhdo0qc,LxLHDHJV-_8,recommendation
lzqkXhdo0qc,_ghn1X7sRFs,recommendation
lzqkXhdo0qc,Ch6HOxPP4gc,recommendation
lzqkXhdo0qc,UTchioiHM0U,recommendation
lzqkXhdo0qc,jSh6XmGmZak,recommendation
lzqkXhdo0qc,vT4z4TCf4uk,recommendation
lzqkXhdo0qc,33VQg5Vqjis,recommendation
lzqkXhdo0qc,TxaYgko3sZc,recommendation
lzqkXhdo0qc,55LNwkH61AM,recommendation
lzqkXhdo0qc,tMuDUkH7eso,recommendation
lzqkXhdo0qc,9yBL17r9LjI,recommendation
lzqkXhdo0qc,3SNicJRcUqs,recommendation
lzqkXhdo0qc,pCNDoGmKgmI,recommendation
lzqkXhdo0qc,TwQx3n29QtY,recommendation
lzqkXhdo0qc,x9J99sbGJBg,recommendation
lzqkXhdo0qc,Gc_EZWUHBkg,direct
Gc_EZWUHBkg,TxaYgko3sZc,recommendation
Gc_EZWUHBkg,ahlIMU9UkDA,recommendation
Gc_EZWUHBkg,SoI21Wb9Doo,recommendation
Gc_EZWUHBkg,cCfj0-HB49A,recommendation
Gc_EZWUHBkg,I2AUxRQFXY4,recommendation
Gc_EZWUHBkg,Ch6HOxPP4gc,recommendation
Gc_EZWUHBkg,0nB9g4os4JU,recommendation
Gc_EZWUHBkg,p0sCjUlfq0E,recommendation
Gc_EZWUHBkg,oQ3IpcRfSnM,recommendation
Gc_EZWUHBkg,tMuDUkH7eso,recommendation
Gc_EZWUHBkg,iG3G56YdFeE,recommendation
Gc_EZWUHBkg,55LNwkH61AM,recommendation
Gc_EZWUHBkg,AWakIqF-ITU,recommendation
Gc_EZWUHBkg,3M-vwHWCT1g,recommendation
Gc_EZWUHBkg,gF8CJSQf238,recommendation
Gc_EZWUHBkg,LxLHDHJV-_8,recommendation
Gc_EZWUHBkg,1mslphV23jc,recommendation
Gc_EZWUHBkg,33VQg5Vqjis,recommendation
Gc_EZWUHBkg,x9J99sbGJBg,recommendation
Gc_EZWUHBkg,TxaYgko3sZc,direct
TxaYgko3sZc,vT4z4TCf4uk,recommendation
TxaYgko3sZc,-QJ_WdBzTrU,recommendation
TxaYgko3sZc,s0YjL9rZyR0,recommendation
TxaYgko3sZc,_AvNT3vyzr0,recommendation
TxaYgko3sZc,EY_Qg4vddF8,recommendation
TxaYgko3sZc,wdxPcmSWBXQ,recommendation
TxaYgko3sZc,lzqkXhdo0qc,recommendation
TxaYgko3sZc,Ch6HOxPP4gc,recommendation
TxaYgko3sZc,LP3RjmvyMOs,recommendation
TxaYgko3sZc,1mslphV23jc,recommendation
TxaYgko3sZc,55LNwkH61AM,recommendation
TxaYgko3sZc,XewnyUJgyA4,recommendation
TxaYgko3sZc,J-tgVEz5xMU,recommendation
TxaYgko3sZc,Gc_EZWUHBkg,recommendation
TxaYgko3sZc,33VQg5Vqjis,recommendation
TxaYgko3sZc,3zicqzkwMxk,recommendation
TxaYgko3sZc,EwM9CuGcBgI,recommendation
TxaYgko3sZc,3SNicJRcUqs,recommendation
TxaYgko3sZc,X5Qy_4249JA,recommendation
TxaYgko3sZc,vT4z4TCf4uk,direct
vT4z4TCf4uk,EwM9CuGcBgI,recommendation
vT4z4TCf4uk,LRvzFeZ9Wdg,recommendation
vT4z4TCf4uk,TxaYgko3sZc,recommendation
vT4z4TCf4uk,s0YjL9rZyR0,recommendation
vT4z4TCf4uk,M624T3PTggU,recommendation
vT4z4TCf4uk,oE9QuB80cGY,recommendation
vT4z4TCf4uk,4Q2aznfmcYU,recommendation
vT4z4TCf4uk,lJilqC8gXb8,recommendation
vT4z4TCf4uk,4NHwi0MT2-A,recommendation
vT4z4TCf4uk,4cwXifDaCjE,recommendation
vT4z4TCf4uk,v4L3gF-sLXc,recommendation
vT4z4TCf4uk,3G1EyvRZmOs,recommendation
vT4z4TCf4uk,TAuXOoiMckM,recommendation
vT4z4TCf4uk,5hMFyOVR0MY,recommendation
vT4z4TCf4uk,4RDDL4pNHHA,recommendation
vT4z4TCf4uk,1ylleTbizgU,recommendation
vT4z4TCf4uk,Bd8_vO5zrjo,recommendation
vT4z4TCf4uk,sFD60GWrl9g,recommendation
vT4z4TCf4uk,imhUmLtlZpw,recommendation
vT4z4TCf4uk,EwM9CuGcBgI,direct
EwM9CuGcBgI,vT4z4TCf4uk,recommendation
EwM9CuGcBgI,w06x8Q_hdMU,recommendation
EwM9CuGcBgI,K1VTt_THL4A,recommendation
EwM9CuGcBgI,MMcSOCuszkw,recommendation
EwM9CuGcBgI,3G1EyvRZmOs,recommendation
EwM9CuGcBgI,3lmpGTGkkos,recommendation
EwM9CuGcBgI,TAuXOoiMckM,recommendation
EwM9CuGcBgI,55LNwkH61AM,recommendation
EwM9CuGcBgI,qHEpsXmmD48,recommendation
EwM9CuGcBgI,4Q2aznfmcYU,recommendation
EwM9CuGcBgI,G-YSiWJ9WP0,recommendation
EwM9CuGcBgI,v4L3gF-sLXc,recommendation
EwM9CuGcBgI,JvhBUowHLiU,recommendation
EwM9CuGcBgI,Iaw4n9IZDdc,recommendation
EwM9CuGcBgI,QUaVeixiVLc,recommendation
EwM9CuGcBgI,imhUmLtlZpw,recommendation
EwM9CuGcBgI,XepCi0I_g6I,recommendation
EwM9CuGcBgI,s0YjL9rZyR0,recommendation
EwM9CuGcBgI,1UesrrHVLa0,recommendation
EwM9CuGcBgI,vT4z4TCf4uk,direct
vT4z4TCf4uk,AH0IfJDRQ7M,recommendation
vT4z4TCf4uk,qxF_CDDJ0YI,recommendation
vT4z4TCf4uk,nzj7Wg4DAbs,recommendation
vT4z4TCf4uk,Io4OF7ux00Q,recommendation
vT4z4TCf4uk,8AtOw-xyMo8,recommendation
vT4z4TCf4uk,_HytJn6uaRk,recommendation
vT4z4TCf4uk,U5kIdtMJGc8,recommendation
vT4z4TCf4uk,k7dTDjRnBqU,recommendation
EwM9CuGcBgI,_AvNT3vyzr0,recommendation
vT4z4TCf4uk,8XQ1onjXJK0,recommendation
vT4z4TCf4uk,G-YSiWJ9WP0,recommendation
vT4z4TCf4uk,34YNGWsB8Qs,recommendation
vT4z4TCf4uk,JvhBUowHLiU,recommendation
vT4z4TCf4uk,6uhUUdtRqNQ,recommendation
x1SgmFa0r04,PUwmA3Q0_OE,recommendation
x1SgmFa0r04,zR3Igc3Rhfg,recommendation
x1SgmFa0r04,YojBpilJB00,recommendation
x1SgmFa0r04,92-VTRIO4b4,recommendation
x1SgmFa0r04,GoW8Tf7hTGA,recommendation
x1SgmFa0r04,dGiQaabX3_o,recommendation
x1SgmFa0r04,TrQzbXc6LVE,recommendation
x1SgmFa0r04,VbiRNT_gWUQ,recommendation
x1SgmFa0r04,YBNFvZ6Vr2U,recommendation
x1SgmFa0r04,IJhgZBn-LHg,recommendation
x1SgmFa0r04,uGcDed4xVD4,recommendation
x1SgmFa0r04,fJ0o2E4d8Ts,recommendation
x1SgmFa0r04,doN4t5NKW-k,recommendation
x1SgmFa0r04,h1eRp0EGOmE,recommendation
x1SgmFa0r04,yDiD8F9ItX0,recommendation
x1SgmFa0r04,CFrP6QfbC2g,recommendation
x1SgmFa0r04,syU1rRCp7E8,recommendation
x1SgmFa0r04,J_WWXGGWZBE,recommendation
x1SgmFa0r04,UIKmSQqp8wY,recommendation
x1SgmFa0r04,PUwmA3Q0_OE,direct
PUwmA3Q0_OE,ymI5Uv5cGU4,recommendation
PUwmA3Q0_OE,2Uj1A9AguFs,recommendation
PUwmA3Q0_OE,zR3Igc3Rhfg,recommendation
PUwmA3Q0_OE,B7ivFcGbFJM,recommendation
PUwmA3Q0_OE,GE-lAftuQgc,recommendation
PUwmA3Q0_OE,f6U7YFPrz6Y,recommendation
PUwmA3Q0_OE,IpKqCu6RcdI,recommendation
PUwmA3Q0_OE,-6Wu0Q7x5D0,recommendation
PUwmA3Q0_OE,uLahVJNnoZ4,recommendation
PUwmA3Q0_OE,Q1OreyX0-fw,recommendation
PUwmA3Q0_OE,UY9P0QSxlnI,recommendation
PUwmA3Q0_OE,JbdGVtj4whA,recommendation
PUwmA3Q0_OE,uD4izuDMUQA,recommendation
PUwmA3Q0_OE,dGiQaabX3_o,recommendation
PUwmA3Q0_OE,GoW8Tf7hTGA,recommendation
PUwmA3Q0_OE,Drzz7Ayzij0,recommendation
PUwmA3Q0_OE,yuD34tEpRFw,recommendation
PUwmA3Q0_OE,Iy7NzjCmUf0,recommendation
PUwmA3Q0_OE,Qw2OBCfXsEo,recommendation
PUwmA3Q0_OE,ymI5Uv5cGU4,direct
ymI5Uv5cGU4,-6Wu0Q7x5D0,recommendation
ymI5Uv5cGU4,3YITNpo2jxg,recommendation
ymI5Uv5cGU4,PUwmA3Q0_OE,recommendation
ymI5Uv5cGU4,UY9P0QSxlnI,recommendation
ymI5Uv5cGU4,B7ivFcGbFJM,recommendation
ymI5Uv5cGU4,SLj5r2nZHB8,recommendation
ymI5Uv5cGU4,joErUdT-bD0,recommendation
ymI5Uv5cGU4,Q1OreyX0-fw,recommendation
ymI5Uv5cGU4,sPeRba-dZj4,recommendation
ymI5Uv5cGU4,w0Wmc8C0Eq0,recommendation
ymI5Uv5cGU4,yqc9zX04DXs,recommendation
ymI5Uv5cGU4,HK5OsDWYJmQ,recommendation
ymI5Uv5cGU4,IgmiHzmPS9k,recommendation
ymI5Uv5cGU4,QN41DJLQmPk,recommendation
ymI5Uv5cGU4,UbpoC2Y9DIA,recommendation
ymI5Uv5cGU4,KR9sWRzbdJw,recommendation
ymI5Uv5cGU4,wu3p7dxrhl8,recommendation
