source,target,value
javascript,jquery,57.8418315264
codeigniter,jquery,26.7297713097
bootstrap,jquery,22.406154649
rest,json,25.0494983961
jquery,json,20.6295773409
xml,json,42.7216684588
ajax,json,32.9474460109
hibernate,jsp,39.4069459855
java,jsp,21.6198030353
spring-mvc,jsp,24.0644902519
spring,jsp,30.6133398512
vue.js,laravel,28.799896655
php,laravel,45.8847332102
mysql,laravel,20.2302660543
codeigniter,laravel,31.6587093175
sass,less,60.545941128
css,less,25.3405353245
html5,less,20.9231876683
wcf,linq,34.5870926587
sql-server,linq,20.4447921117
c#,linq,25.2229316431
asp.net,linq,31.5812777462
entity-framework,linq,54.0059295601
.net,linq,20.5017438581
wpf,linq,26.468391556
bash,linux,38.8881157503
git,linux,27.7087927747
unix,linux,25.3574128742
osx,linux,23.4128149397
ubuntu,linux,29.8943425853
shell,linux,21.1317929174
nginx,linux,21.0804784479
windows,linux,29.9454007738
python,linux,21.170360444
apache,linux,28.1682130132
python,machine-learning,30.2707743674
r,machine-learning,23.2186970397
r,matlab,20.0219326983
spring-mvc,maven,24.9338022599
jenkins,maven,33.4770807791
eclipse,maven,25.3146594538
spring,maven,39.5302298409
hibernate,maven,34.1000520248
express,mongodb,48.7680608118
node.js,mongodb,58.6578066122
reactjs,mongodb,22.3209731893
postgresql,mongodb,22.8555570003
mysql,mongodb,26.3692647616
redis,mongodb,33.5547311288
elasticsearch,mongodb,20.2280068555
angularjs,mongodb,31.5107111704
asp.net,mvc,22.828412163
css,mysql,27.0106224894
jquery,mysql,35.7129778111
mongodb,mysql,26.3692647616
laravel,mysql,20.2302660543
php,mysql,65.0702591241
postgresql,mysql,25.9099424888
javascript,mysql,22.9161907165
html,mysql,21.3556888902
ajax,mysql,24.8000894229
apache,mysql,29.0978345477
codeigniter,mysql,22.5968859293
linux,nginx,21.0804784479
redis,nginx,27.4731414069
apache,nginx,48.5831734641
javascript,node.js,42.7317293231
reactjs,node.js,55.192747552
express,node.js,58.829076623
angularjs,node.js,47.5635270253
mongodb,node.js,58.6578066122
react-native,node.js,22.1632503119
redux,node.js,23.4019232537
xcode,objective-c,43.4188251171
iphone,objective-c,47.9778876038
swift,objective-c,79.0885357792
ios,objective-c,78.7592804665
osx,objective-c,24.7631898292
sql,oracle,21.8276047647
plsql,oracle,45.0615143391
windows,osx,20.8602467765
objective-c,osx,24.7631898292
ios,osx,30.3415810719
linux,osx,23.4128149397
regex,perl,21.3640778862
css,photoshop,20.855721425
css,php,51.4476049091
laravel,php,45.8847332102
wordpress,php,41.0370454965
jquery,php,46.6190908982
javascript,php,47.3281575556
ajax,php,28.0106792566
html,php,45.6610408797
mysql,php,65.0702591241
html5,php,32.3505069192
codeigniter,php,37.4014964616
oracle,plsql,45.0615143391
sql,plsql,22.7174423875
mysql,postgresql,25.9099424888
redis,postgresql,26.2801817414
ruby-on-rails,postgresql,25.6901103291
mongodb,postgresql,22.8555570003
django,postgresql,22.4892526432
ruby,postgresql,21.7951750576
windows,powershell,20.2406906033
flask,python,25.2513718614
c++,python,24.3010456662
machine-learning,python,30.2707743674
django,python,49.9059429537
c,python,22.3204322539
r,python,28.5357478533
linux,python,21.170360444
c++,qt,30.1446600326
python,r,28.5357478533
matlab,r,20.0219326983
machine-learning,r,23.2186970397
reactjs,react-native,61.5310229725
redux,react-native,25.4805814765
node.js,react-native,22.1632503119
node.js,reactjs,55.192747552
sass,reactjs,24.9979588147
react-native,reactjs,61.5310229725
redux,reactjs,65.1298550597
angularjs,reactjs,31.6202023047
mongodb,reactjs,22.3209731893
express,reactjs,31.924272589
javascript,reactjs,33.5673591049
mongodb,redis,33.5547311288
nginx,redis,27.4731414069
elasticsearch,redis,29.3490986761
postgresql,redis,26.2801817414
reactjs,redux,65.1298550597
node.js,redux,23.4019232537
react-native,redux,25.4805814765
express,redux,21.5434584177
perl,regex,21.3640778862
spring,rest,26.1175986263
web-services,rest,33.6906690757
api,rest,22.1755891093
hibernate,rest,21.6466678778
json,rest,25.0494983961
postgresql,ruby,21.7951750576
ruby-on-rails,ruby,95.3613107122
postgresql,ruby-on-rails,25.6901103291
ruby,ruby-on-rails,95.3613107122
jquery,sass,24.6817281322
javascript,sass,23.7824698837
reactjs,sass,24.9979588147
html,sass,23.6395292355
html5,sass,32.0703766561
less,sass,60.545941128
angularjs,sass,20.4258784167
css,sass,40.9633612655
twitter-bootstrap,sass,20.1854880109
hadoop,scala,21.6259344622
haskell,scala,22.7574400098
apache-spark,scala,50.7918456342
testing,selenium,33.6859430952
bash,shell,24.7170655738
linux,shell,21.1317929174
web-services,spring,20.1656062969
spring-mvc,spring,63.3302173132
rest,spring,26.1175986263
spring-boot,spring,57.0403926567
maven,spring,39.5302298409
java-ee,spring,39.8121051485
hibernate,spring,103.2682844636
jsp,spring,30.6133398512
java,spring,43.9542592253
spring,spring-boot,57.0403926567
hibernate,spring-boot,30.2329037064
spring-mvc,spring-boot,60.6168262096
maven,spring-mvc,24.9338022599
java-ee,spring-mvc,27.9645918526
spring,spring-mvc,63.3302173132
jsp,spring-mvc,24.0644902519
spring-boot,spring-mvc,60.6168262096
hibernate,spring-mvc,64.1098982131
java,spring-mvc,25.0412148108
plsql,sql,22.7174423875
sql-server,sql,24.3547729178
c#,sql,25.613903617
oracle,sql,21.8276047647
asp.net,sql,21.6722646057
asp.net-web-api,sql-server,25.6764741822
wcf,sql-server,26.291466331
vb.net,sql-server,21.7888934428
.net,sql-server,32.3225242193
entity-framework,sql-server,32.6237790869
asp.net,sql-server,59.6732894869
linq,sql-server,20.4447921117
sql,sql-server,24.3547729178
c#,sql-server,45.9146512355
xcode,swift,48.620334867
iphone,swift,36.0233746732
objective-c,swift,79.0885357792
ios,swift,87.219642461
agile,tdd,37.1465899242
selenium,testing,33.6859430952
angularjs,twitter-bootstrap,24.1536858611
html5,twitter-bootstrap,26.2309833744
sass,twitter-bootstrap,20.1854880109
jquery,twitter-bootstrap,36.7919254982
javascript,twitter-bootstrap,20.2388230437
css,twitter-bootstrap,31.5640551026
jquery,twitter-bootstrap-3,21.1532432493
html5,twitter-bootstrap-3,22.1610364135
angular2,typescript,38.8799822292
angular,typescript,31.0364817839
linux,ubuntu,29.8943425853
c#,unity3d,25.0002334731
linux,unix,25.3574128742
asp.net,vb.net,23.7113462811
sql-server,vb.net,21.7888934428
c#,vb.net,25.1851359563
excel-vba,vba,49.6162172783
excel,vba,45.260749883
c#,visual-studio,27.7155434286
laravel,vue.js,28.799896655
.net,wcf,28.0744004276
entity-framework,wcf,32.8159516504
c#,wcf,29.2998800335
sql-server,wcf,26.291466331
wpf,wcf,53.1799034554
linq,wcf,34.5870926587
asp.net,wcf,40.9514217261
asp.net-web-api,wcf,28.356535431
rest,web-services,33.6906690757
hibernate,web-services,21.2109569252
spring,web-services,20.1656062969
powershell,windows,20.2406906033
linux,windows,29.9454007738
osx,windows,20.8602467765
php,wordpress,41.0370454965
html5,wordpress,22.216440754
css,wordpress,31.2648246688
codeigniter,wordpress,25.1331307657
drupal,wordpress,24.9192961822
jquery,wordpress,28.8701705999
linq,wpf,26.468391556
wcf,wpf,53.1799034554
entity-framework,wpf,24.2282018567
c#,wpf,38.9574921757
asp.net,wpf,28.1590233387
.net,wpf,32.3509252201
c#,xamarin,24.6731475487
objective-c,xcode,43.4188251171
swift,xcode,48.620334867
iphone,xcode,34.7128650712
ios,xcode,46.3650907739
json,xml,42.7216684588
